Zmienna;Jednostka terytorialna;Jednostka;Rok;Wartoœæ
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1950;551
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1951;599
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1952;652
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1953;920
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1954;975
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1955;1008
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1956;1118
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1957;1279
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1958;1348
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1959;1453
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1960;1560
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1961;1625
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1962;1680
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1963;1763
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1964;1816
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1965;1867
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1966;1934
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1967;2016
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1968;2106
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1969;2174
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1970;2235
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1971;2358
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1972;2509
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1973;2798
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1974;3185
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1975;3913
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1976;4281
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1977;4596
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1978;4887
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1979;5327
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1980;6040
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1981;7689
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1982;11631
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1983;14475
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1984;16838
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1985;20005
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1986;24095
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1987;29184
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1988;53090
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1989;206758
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1990;1029637
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1991;1770000
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1992;2935000
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1993;3995000
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1994;5328000
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1995;702,62
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1996;873
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1997;1061,93
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1998;1239,49
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;1999;1706,74
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2000;1923,81
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2001;2061,85
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2002;2133,21
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2003;2201,47
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2004;2289,57
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2005;2380,29
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2006;2477,23
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2007;2691,03
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2008;2943,88
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2009;3102,96
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2010;3224,98
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2011;3399,52
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2012;3521,67
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2013;3650,06
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2014;3783,46
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2015;3899,78
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2016;4047,21
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2017;4271,51
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2018;4585,03
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2019;4918,17
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2020;5167,47
Przeciêtne miesiêczne wynagrodzenie w gospodarce narodowej;Polska;z³;2021;5662,53
